Rank,Player,Position,Age,Team,Played,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1,Precious Achiuwa,Center,24,TOR,16,0,18.1,3.3,7,0.6,1.9,2.6,5.1,0.9,1.6,2.3,3.9,6.2,1.9,0.6,0.4,1.8,8
2,Bam Adebayo,Center,26,MIA,16,16,33.6,8.3,15.8,0.1,0.2,8.2,15.6,5.7,7,2.1,7.9,9.9,3.9,1.2,1,2.4,22.3
3,Ochai Agbaji,Shooting Guard,23,UTA,22,9,20.4,2.4,5.2,1.3,3.2,1.1,2,0.3,0.4,0.8,1.7,2.5,1,0.6,0.5,1.5,6.4
4,Santi Aldama,Power Forward,23,MEM,15,4,26.9,5.1,11.7,1.7,5.3,3.5,6.4,1.2,1.9,1.7,4.6,6.3,2.3,0.7,0.7,1.7,13.1
5,Nickeil Alexander-Walker,Shooting Guard,25,MIN,21,10,23.9,2.6,6.4,1.5,4.2,1.1,2.1,0.3,0.6,0.5,1.7,2.1,2.5,0.9,0.7,1.9,7
6,Grayson Allen,Shooting Guard,28,PHO,19,19,33.1,4.1,8.5,2.3,4.9,1.8,3.6,1.8,2,0.7,3.8,4.5,2.9,0.7,0.4,2.3,12.3
7,Jarrett Allen,Center,25,CLE,17,17,28.5,5.3,7.9,0,0,5.3,7.9,2.4,3.4,3.1,5.2,8.3,2.2,0.6,1,2.8,13
8,Jose Alvarado,Point Guard,25,NOP,9,0,16.8,2.8,6.4,1.4,3.3,1.3,3.1,0.3,0.9,0.4,1.7,2.1,2.2,1.2,0.3,1.2,7.3
9,Kyle Anderson,Power Forward,30,MIN,21,0,24,2.7,5.9,0.1,0.9,2.6,5,1.7,2.5,0.8,3,3.8,4,0.8,0.9,1.4,7.2
10,Giannis Antetokounmpo,Power Forward,29,MIL,21,21,34.6,11.8,19.1,0.4,1.8,11.3,17.4,6.6,10,2.7,7.9,10.6,5,1.4,1.3,3.1,30.5
11,Thanasis Antetokounmpo,Power Forward,31,MIL,8,0,5.9,0.5,1.1,0,0,0.5,1.1,0,0,0.4,0.3,0.6,0.5,0.3,0.1,0.9,1
12,Cole Anthony,Point Guard,23,ORL,22,0,26,5.1,11.3,1.4,3.9,3.7,7.4,3.8,4.5,1.1,3.5,4.6,3.6,0.7,0.5,3,15.4
13,OG Anunoby,Small Forward,26,TOR,18,18,32.5,5.5,11.9,2.5,6.4,3,5.5,1.3,2,1,3.3,4.3,2.4,1.1,0.7,2.4,14.8
14,Ryan Arcidiacono,Point Guard,29,NYK,6,0,2.2,0,0.2,0,0.2,0,0,0,0,0,0.5,0.5,0.2,0.2,0,0,0
15,Deni Avdija,Small Forward,23,WAS,21,21,26.9,4.9,9.2,1,2.9,3.9,6.4,1.5,1.8,1.2,4.3,5.5,3.9,0.9,0.4,2.2,12.2
16,Deandre Ayton,Center,25,POR,18,18,31.9,6,10.2,0,0,6,10.2,0.9,1.2,3.1,7.7,10.8,1.6,1.2,0.7,2.6,12.9
17,Udoka Azubuike,Center,24,PHO,2,0,4.5,0.5,0.5,0,0,0.5,0.5,0,0,0,2,2,0,0,0,0.5,1
18,Marvin Bagley III,Center,24,DET,20,7,18.3,3.9,6.7,0.1,0.3,3.8,6.5,2.1,2.4,1.9,3,4.8,1.2,0.1,0.6,1.5,9.8
19,Amari Bailey,Point Guard,19,CHO,1,0,3,1,3,0,0,1,3,0,0,2,0,2,0,0,0,0,2
20,Patrick Baldwin Jr,Small Forward,21,WAS,4,0,3.8,0,1.3,0,0.3,0,1,0,0,0.5,0.8,1.3,0.3,0,0.3,0.3,0
21,LaMelo Ball,Point Guard,22,CHO,15,15,33.4,8.8,19.9,3.5,8.9,5.3,10.9,3.6,4.2,1.5,3.9,5.5,8.2,1.4,0.3,3.5,24.7
22,Mo Bamba,Center,25,PHI,10,0,6.2,1.3,2.5,0.3,0.7,1,1.8,0.6,0.8,1.3,1.1,2.4,0.1,0.1,0.7,0.8,3.5
23,Paolo Banchero,Power Forward,21,ORL,22,22,33.5,7.5,15.3,1.3,3.1,6.3,12.1,4.4,6.4,1.3,5.4,6.7,4.5,1,0.6,2.4,20.7
24,Desmond Bane,Shooting Guard,25,MEM,21,21,34.2,9,19.3,3.3,8.7,5.7,10.7,3.3,3.8,0.9,3.5,4.4,5.1,1.3,0.8,3.1,24.6
25,Dalano Banton,Point Guard,24,BOS,11,1,8.3,1.2,2.5,0.1,0.6,1.1,1.8,0.5,0.5,0.9,1.4,2.3,0.5,0.2,0.2,1.1,2.9
26,Dominick Barlow,Power Forward,20,SAS,7,0,5,0.4,1,0,0,0.4,1,0.3,0.6,0,0.7,0.7,0,0.1,0,0.3,1.1
27,Harrison Barnes,Power Forward,31,SAC,20,20,31.6,4,8.5,1.8,4.7,2.2,3.8,2.1,2.5,1,2.6,3.5,1.5,0.8,0.2,1.1,11.7
28,Scottie Barnes,Shooting Guard,22,TOR,22,22,34.8,7.4,15.8,2,5.2,5.4,10.6,3,4,2.7,6.5,9.2,5.6,1.7,1.3,2,19.8
29,RJ Barrett,Shooting Guard,23,NYK,16,16,29.6,6.5,15.2,1.9,5.1,4.6,10.1,4.2,4.9,0.7,3.2,3.9,2.6,0.5,0.2,1.4,19.1
30,Charles Bassey,Center,23,SAS,19,0,10.8,1.5,2.1,0,0.1,1.5,2.1,0.3,0.3,1.2,2.8,4,1.1,0.4,0.9,1.6,3.3
31,Emoni Bates,Small Forward,20,CLE,7,0,7.4,0.6,2.1,0.4,1.7,0.1,0.4,0.1,0.3,0.1,1.1,1.3,0.3,0.1,0.1,0.3,1.7
32,Keita Bates-Diop,Small Forward,28,PHO,19,8,18.7,2,4.9,0.5,1.9,1.5,3,1.2,1.7,1.1,2.3,3.3,0.9,0.6,0.8,1,5.7
33,Nicolas Batum,Power Forward,35,TOT,15,9,24.6,2.1,3.7,1.5,3,0.6,0.7,0.5,0.7,1,2.9,3.9,2,0.6,0.7,2,6.3
33,Nicolas Batum,Power Forward,35,LAC,3,0,18,1,2.7,0.7,2.3,0.3,0.3,0,0,0,2.3,2.3,1.7,1,1.3,1.7,2.7
33,Nicolas Batum,Power Forward,35,PHI,12,9,26.3,2.4,4,1.8,3.2,0.7,0.8,0.6,0.9,1.3,3,4.3,2.1,0.5,0.6,2.1,7.2
34,Bradley Beal,Shooting Guard,30,PHO,3,3,28.7,6,15.3,1.7,5,4.3,10.3,3.7,5.3,1,4.3,5.3,3.7,0.7,0.3,3,17.3
35,Malik Beasley,Shooting Guard,27,MIL,22,22,29.6,4.3,9,3,6.5,1.3,2.5,0.4,0.5,0.6,3.8,4.4,1.4,0.9,0.1,2,11.9
36,MarJon Beauchamp,Small Forward,23,MIL,18,0,16.3,2,4.3,0.9,2,1.1,2.3,0.5,0.9,0.7,1.8,2.6,0.9,0.3,0.2,1.7,5.4
37,Jules Bernard,Shooting Guard,24,WAS,1,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
38,Davis Bertins,Power Forward,31,OKC,7,0,8.1,0.9,2.3,0.9,2.1,0,0.1,2,2.1,0,0.7,0.7,0.7,0.3,0.1,1.1,4.6
39,Patrick Beverley,Point Guard,35,PHI,21,1,18.3,1.7,4,0.6,2.1,1.1,2,0.6,0.8,0.9,2.2,3.1,2.5,0.5,0.3,1.9,4.6
40,Saddiq Bey,Small Forward,24,ATL,21,9,30,4.7,9.6,1.9,4.8,2.8,4.8,1.6,2,2.2,3.8,6,1.2,1,0.1,1.6,13
41,Goga Bitadze,Center,24,ORL,20,17,20.6,2.7,4.7,0.1,0.3,2.7,4.5,1.5,2.1,2.1,3.9,6,1.9,0.7,1.6,2.4,7
42,Onuralp Bitim,Shooting Guard,24,CHI,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Bismack Biyombo,Center,31,MEM,16,15,25.1,2.5,4.4,0,0,2.5,4.4,1.1,1.9,2.5,4.5,7,2.1,0.4,1.3,2.9,6.1
44,Anthony Black,Point Guard,20,ORL,20,16,19.2,2,3.9,0.4,1.3,1.6,2.6,0.8,1.3,0.6,1.8,2.3,1.5,0.3,0.4,2.1,5.1
45,Leaky Black,Small Forward,24,CHO,4,0,4.3,0.5,1.3,0.3,0.5,0.3,0.8,0,0,0,0.5,0.5,0.3,0.3,0.5,0.3,1.3
46,Bogdan Bogdanovi,Shooting Guard,31,ATL,21,2,27.2,5.9,13,3.1,8,2.8,4.9,1.3,1.4,0.4,3,3.4,2.2,1.4,0.3,2.5,16.1
47,Bojan Bogdanovi,Power Forward,34,DET,3,2,29.3,6.3,13.3,2.7,7,3.7,6.3,2.3,3,0.3,2.7,3,3.3,1.7,0,0.7,17.7
48,Bol Bol,Power Forward,24,PHO,4,0,2,0.3,0.3,0,0,0.3,0.3,0,0,0,0.3,0.3,0,0,0.3,0,0.5
49,Marques Bolden,Center,25,MIL,1,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0
50,Devin Booker,Shooting Guard,27,PHO,13,13,34.6,8.9,18.6,2,4.7,6.9,13.9,7.5,8.2,1,5.3,6.3,8.1,0.8,0.5,3.2,27.4
51,Chris Boucher,Power Forward,31,TOR,20,0,14.6,2.2,4.9,0.7,1.9,1.5,3,1.6,2,1.3,2.7,3.9,0.4,0.4,0.5,1.8,6.7
52,James Bouknight,Shooting Guard,23,CHO,1,0,5,2,3,1,2,1,1,0,0,1,0,1,0,0,0,0,5
53,Jamaree Bouyea,Point Guard,24,POR,6,0,9.5,0.8,3.5,0,1.3,0.8,2.2,0,0,0.3,1.3,1.7,1.3,0,0,0.5,1.7
54,Malaki Branham,Shooting Guard,20,SAS,21,9,20.3,3.2,7.8,1,3.2,2.3,4.6,0.5,0.5,0.3,1,1.3,2,0.4,0.1,1.4,7.9
55,Christian Braun,Shooting Guard,22,DEN,23,0,20.3,3.4,7.1,0.6,1.6,2.8,5.5,1.2,1.6,0.9,3.2,4.1,1.9,0.4,0.3,1.7,8.6
56,Mikal Bridges,Small Forward,27,BRK,21,21,34.8,8.5,17.2,2.1,5.7,6.3,11.5,4.1,4.8,1.1,5,6,4,1,0.6,1.7,23.2
57,Miles Bridges,Small Forward,25,CHO,10,8,36.8,7.4,14.8,2.1,5,5.3,9.8,3.3,3.9,0.9,6.3,7.2,2.7,1.5,0.3,2,20.2
58,Oshae Brissett,Small Forward,25,BOS,9,0,10,0.3,1.9,0.1,1,0.2,0.9,0.8,1.3,0.9,1.4,2.3,0.3,0.4,0,1,1.6
59,Malcolm Brogdon,Point Guard,31,POR,15,10,28.1,6.1,14.7,2,5.3,4.1,9.5,2.9,3.6,1,3,4,6.1,0.9,0.2,1.3,17
60,Armoni Brooks,Point Guard,25,BRK,5,0,9,1.2,3.4,1,2.6,0.2,0.8,0,0,0.4,1.6,2,0,0,0,0.2,3.4
61,Dillon Brooks,Small Forward,28,HOU,19,19,31.3,5.1,10.4,1.9,4.5,3.2,5.9,1.9,2.3,0.8,2.7,3.5,1.7,1,0.1,4,13.9
62,Bruce Brown,Shooting Guard,27,IND,20,20,31.8,4.6,9.7,1.3,3.7,3.3,6,2.2,2.6,0.5,3.9,4.4,2.8,1.2,0.3,2.4,12.6
63,Charlie Brown Jr,Shooting Guard,26,NYK,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,Jaylen Brown,Small Forward,27,BOS,20,20,34,8.5,18.4,2.4,6.9,6.2,11.5,2.6,3.7,0.6,4.3,4.9,3.3,1.2,0.7,3.1,22
65,Kobe Brown,Power Forward,24,LAC,12,0,9.6,0.8,2.3,0.4,1.5,0.3,0.8,0.1,0.2,0.4,1.4,1.8,0.6,0.1,0.2,1.8,2
66,Moses Brown,Center,24,POR,3,0,4.7,1,1.7,0,0,1,1.7,0,0.7,1.3,0.3,1.7,0.3,0.3,0.3,0.3,2
67,Troy Brown Jr,Small Forward,24,MIN,17,2,15.4,1.9,4.1,1.1,2.7,0.8,1.4,1,1.2,0.7,2.1,2.8,0.9,0.4,0.1,0.9,5.8
68,Jalen Brunson,Point Guard,27,NYK,21,21,35.4,8.9,19.1,3,6.8,5.9,12.3,4,5,0.6,3,3.6,5.5,1,0,2.1,24.8
69,Thomas Bryant,Center,26,MIA,13,3,12.9,2.1,4.2,0,0.2,2.1,3.9,0.9,1.2,1,2.8,3.8,0.6,0.5,0.3,1.3,5.1
70,Kobe Bufkin,Shooting Guard,20,ATL,2,0,2,0,1.5,0,0.5,0,1,0.5,1,0.5,0.5,1,0,0,0,0,0.5
71,Reggie Bullock,Small Forward,32,HOU,9,0,9.1,0.6,1.7,0.4,1.4,0.1,0.2,0.1,0.1,0.2,1.2,1.4,0.3,0.1,0.1,0.8,1.7
72,Alec Burks,Shooting Guard,32,DET,15,0,19.2,2.9,8.2,1.9,5.3,0.9,2.9,2.8,3.2,0.5,1.9,2.4,1.8,0.3,0.3,1.5,10.5
73,Jared Butler,Shooting Guard,23,WAS,9,0,7,0.9,2.4,0.3,1.3,0.6,1.1,0.7,0.8,0,0.8,0.8,1.4,0.4,0.1,1.2,2.8
74,Jimmy Butler,Power Forward,34,MIA,18,18,34.1,6.8,14.9,1,2.6,5.8,12.3,7.2,8.2,2,3.2,5.2,4.1,1.2,0.4,0.9,21.9
75,Jamal Cain,Power Forward,24,MIA,6,0,12.7,1.3,2.8,0.3,1.5,1,1.3,0.3,0.8,0.5,1,1.5,0,0.7,0,0.8,3.3
76,Kentavious Caldwell-Pope,Shooting Guard,30,DEN,23,23,33.9,3.8,8.3,1.6,3.8,2.3,4.6,1.7,1.9,0.4,1.5,1.9,2.7,1.6,0.4,2,11
77,Toumani Camara,Power Forward,23,POR,21,12,25.3,2.5,6.6,0.8,3,1.7,3.6,1,1.3,2.1,2.6,4.7,1,0.9,0.6,2.8,6.7
78,Clint Capela,Center,29,ATL,21,21,25,4.6,8.1,0,0,4.6,8.1,1.5,2.5,4.8,5.7,10.5,1.1,0.7,1.7,2.5,10.8
79,Jevon Carter,Point Guard,28,CHI,23,0,14.1,2,5.2,1.1,3.2,0.9,2,0,0,0.1,0.4,0.5,1.3,0.5,0.3,1.1,5.1
80,Wendell Carter Jr,Center,24,ORL,5,5,29.4,3.4,9,1,3.2,2.4,5.8,1.6,2.8,2.2,6.4,8.6,1.6,0.6,0.4,2.8,9.4
81,Alex Caruso,Shooting Guard,29,CHI,20,9,23.5,3.4,6.3,1.6,3.5,1.8,2.8,1.2,1.6,1.3,2.2,3.4,2.3,1.3,0.8,2.3,9.5
82,Colin Castleton,Center,23,LAL,3,0,7.7,0.7,1.7,0,0,0.7,1.7,0.7,0.7,1,1,2,0.7,0,0,1.7,2
83,Malcolm Cazalon,Shooting Guard,22,DET,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Julian Champagnie,Small Forward,22,SAS,14,5,14.6,1.9,5.3,1.4,3.8,0.5,1.5,0.6,0.8,0.4,1.4,1.8,0.9,0.4,0.7,1,5.9
85,Max Christie,Shooting Guard,20,LAL,18,5,17.6,1.9,4.6,0.7,2.1,1.2,2.4,0.6,0.8,0.2,2.6,2.7,1,0.4,0.2,1.6,5
86,Sidy Cissoko,Small Forward,19,SAS,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Jordan Clarkson,Shooting Guard,31,UTA,18,18,31.3,6.2,15.3,1.7,5.6,4.5,9.7,2.9,3.6,1.2,2.1,3.3,4.9,0.8,0.1,1.4,17.1
88,Nic Claxton,Center,24,BRK,12,12,27.2,5.3,8.1,0,0,5.3,8.1,1.3,2.3,3.4,5.9,9.3,1.6,0.6,2.4,2.4,12
89,Noah Clowney,Power Forward,19,BRK,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
90,Amir Coffey,Small Forward,26,LAC,10,0,5.8,0.4,1.2,0,0.3,0.4,0.9,0.4,0.4,0.2,0.5,0.7,0.3,0.1,0,0.5,1.2
91,John Collins,Power Forward,26,UTA,22,22,31,5.5,11.4,1.4,3.7,4.1,7.7,2,2.7,2.7,5.9,8.6,0.9,0.6,1,2.8,14.5
92,Zach Collins,Center,26,SAS,21,20,28.8,5.1,10.7,1.1,4,4,6.6,2.3,2.9,2.1,4.1,6.2,3.9,0.7,0.7,3.4,13.7
93,Mike Conley,Point Guard,36,MIN,21,21,29.8,3.7,8.4,2.2,5.2,1.5,3.2,1.5,1.6,0.4,2.6,3,6.1,1,0.1,1.9,11.1
94,Pat Connaughton,Small Forward,31,MIL,18,0,23.1,2.1,5,1.1,3.3,1,1.7,0.4,0.7,0.7,2.8,3.5,2,0.5,0.2,1.1,5.8
95,Bilal Coulibaly,Small Forward,19,WAS,20,1,26.4,3.3,6.2,1.1,2.7,2.2,3.6,1,1.5,0.6,3.4,4,1.7,1.1,0.7,1.9,8.7
96,Robert Covington,Small Forward-Power Forward,33,TOT,20,6,18,1.7,3.9,0.9,2.3,0.9,1.6,0.9,1.1,1.3,2.2,3.5,0.9,1.5,0.8,2,5.2
96,Robert Covington,Power Forward,33,LAC,3,3,23,1,3,0.7,2.7,0.3,0.3,0.3,0.7,0.7,2,2.7,2.3,2,0.7,2.3,3
96,Robert Covington,Small Forward,33,PHI,17,3,17.1,1.8,4,0.9,2.2,0.9,1.8,1,1.1,1.4,2.2,3.6,0.6,1.4,0.8,1.9,5.5
97,Torrey Craig,Small Forward,33,CHI,23,7,21.2,2.1,4.9,1,2.7,1.1,2.2,0.6,0.7,1.9,3.1,5,1.1,0.7,0.4,2.4,5.9
98,Jae Crowder,Power Forward,33,MIL,9,2,26.7,2.8,5.2,1.8,3.4,1,1.8,0.8,1.3,0.4,3.4,3.9,1.7,0.8,0.3,1.6,8.1
99,Cade Cunningham,Point Guard,22,DET,22,22,34.9,8.1,19.4,2,6,6.1,13.4,3.7,4.1,0.5,3.3,3.8,7.3,1,0.2,2.7,22
100,Seth Curry,Shooting Guard,33,DAL,17,1,11.6,1.6,4.1,0.9,2.3,0.8,1.8,0.4,0.5,0.5,0.9,1.4,0.9,0.6,0.1,0.8,4.6
101,Stephen Curry,Point Guard,35,GSW,20,20,33.8,9,18.8,5.1,11.8,3.9,7,6.4,6.9,0.7,4.4,5.1,4.4,0.7,0.2,1.7,29.4
102,Dyson Daniels,Point Guard,20,NOP,23,12,25.1,2.7,6.8,0.7,2.9,2,3.9,0.7,1.1,1.1,3.7,4.7,3.1,1.5,0.4,2,6.9
103,Anthony Davis,Center,30,LAL,22,22,35,8.5,16,0.1,0.6,8.4,15.4,5.6,6.7,3.6,9,12.7,3.2,1,2.7,2.7,22.7
104,Johnny Davis,Shooting Guard,21,WAS,14,0,9.1,1.4,2.9,0.1,0.2,1.3,2.6,0.3,0.4,0.6,0.8,1.4,0.4,0.5,0.1,0.7,3.1
105,Dexter Dennis,Shooting Guard,24,DAL,2,0,3.5,1,3,0,1.5,1,1.5,0,0.5,0.5,0.5,1,0,0,0,0,2
106,DeMar DeRozan,Small Forward,34,CHI,21,21,35.6,7.6,17.2,0.9,2.5,6.7,14.7,5.6,7,0.9,2.7,3.6,5,1,0.8,2,21.8
107,Moussa Diabate,Center,22,LAC,9,0,6.1,1,2,0,0,1,2,1,1.3,1.6,0.6,2.1,0.4,0.4,0,0.4,3
108,Gradey Dick,Shooting Guard,20,TOR,15,1,14.7,1.1,4.2,0.7,2.7,0.5,1.5,0.9,0.9,0.5,1,1.5,1,0.3,0,1.5,3.9
109,Ousmane Dieng,Power Forward,20,OKC,12,0,10.2,1.1,3.1,0.6,2.2,0.5,0.9,0.3,0.3,0.5,1.3,1.8,0.9,0.1,0,0.6,3
110,Spencer Dinwiddie,Point Guard,30,BRK,20,20,31.4,4.7,11.9,2.2,6.5,2.5,5.4,3,3.8,0.5,3.4,3.9,6.3,0.8,0.2,1.6,14.6
111,Donte DiVincenzo,Shooting Guard,27,NYK,21,3,20.4,3,7.2,2.2,5.1,0.9,2.1,0.6,0.9,0.7,2.1,2.8,1.7,0.9,0.3,1.4,8.9
112,Luka Doni,Point Guard,24,DAL,20,20,35.9,11,22.5,3.9,10.2,7.1,12.3,6.1,7.9,0.7,7.7,8.4,8.7,1.3,0.5,1.8,31.9
113,Luguentz Dort,Small Forward,24,OKC,21,21,28.2,3.3,7.8,1.6,4.1,1.8,3.6,2,2.5,1.3,2.8,4.1,1.2,0.9,0.8,3,10.3
114,Ayo Dosunmu,Shooting Guard,24,CHI,21,1,18.2,2.5,5,0.8,2.3,1.7,2.8,0.7,0.9,0.4,1.3,1.7,1.8,0.7,0.1,1.6,6.4
115,Andre Drummond,Center,30,CHI,23,0,13.2,2.3,4.6,0,0,2.3,4.6,1.2,2.2,2.8,3.8,6.7,0.6,1,0.3,1.7,5.9
116,Chris Duarte,Small Forward,26,SAC,18,5,14.3,1.6,3.9,0.8,2.3,0.8,1.6,0.6,0.8,0.2,1.7,1.9,0.9,0.7,0.1,2.6,4.4
117,Kris Dunn,Point Guard,29,UTA,14,1,10.9,1.6,3.7,0.4,0.9,1.2,2.8,0.4,0.7,0.4,1.6,1.9,1.9,0.5,0.1,1.4,3.9
118,Kevin Durant,Power Forward,35,PHO,19,19,36.7,10.6,20.4,2.3,4.6,8.3,15.8,7.4,8.3,0.3,6.2,6.5,5.7,0.7,1.2,1.9,31
119,Jalen Duren,Center,20,DET,14,13,28.9,5.7,9.1,0,0.1,5.7,8.9,1.1,2,3.4,7.6,10.9,2.5,0.6,1.4,3.4,12.6
120,Tari Eason,Power Forward,22,HOU,12,0,18.2,2.5,5.8,0.7,1.8,1.8,4,0.9,1.4,1.6,4.5,6.1,1.3,0.4,1.2,1.9,6.6
121,Anthony Edwards,Shooting Guard,22,MIN,19,19,33.5,8.5,18.7,2.4,6.3,6.1,12.5,5.1,5.8,0.7,4.9,5.6,4.8,1.2,0.5,1.8,24.4
122,Kessler Edwards,Small Forward,23,SAC,15,0,6.1,0.4,1.4,0.3,0.9,0.1,0.5,0.1,0.1,0.2,0.8,1,0.3,0.1,0.1,0.6,1.1
