Rank,Player,Position,Age,Team,Played,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
123,Keon Ellis,Shooting Guard,24,SAC,13,2,11.4,1.2,2.8,0.7,2.2,0.5,0.6,0.6,1,0.3,1.1,1.4,0.8,0.5,0.3,1.2,3.8
124,Joel Embiid,Center,29,PHI,18,18,34.8,10.9,21.3,1.1,3.3,9.8,18.1,10.5,12,3.4,8.1,11.5,6.4,1,1.9,2.8,33.3
125,Drew Eubanks,Center,26,PHO,21,0,17.8,2.7,4.6,0.1,0.1,2.6,4.5,1.2,1.4,1.5,3,4.5,1.4,0.2,1,2.1,6.7
126,Dante Exum,Point Guard,28,DAL,18,2,12.7,2.4,4.8,0.4,1.3,2,3.5,0.7,1.1,0.6,2.1,2.7,2.1,0.4,0.1,1.1,5.8
127,Bruno Fernando,Center,25,ATL,5,0,3.2,0.6,1.8,0,0.2,0.6,1.6,0.2,0.2,0.6,0.2,0.8,0,0,0,0.6,1.4
128,Dorian Finney-Smith,Power Forward,30,BRK,20,17,31.1,4.1,8.7,2.7,5.9,1.5,2.8,0.2,0.3,2.1,3.3,5.4,1.3,0.6,0.7,2.3,11.1
129,Malachi Flynn,Point Guard,25,TOR,22,0,16.1,1.9,4.5,0.9,2.6,1,1.9,0.6,0.8,0.4,1.5,1.9,2.2,0.7,0.2,1.3,5.3
130,Simone Fontecchio,Small Forward,28,UTA,20,7,18.8,2.6,6.1,1.6,4.3,1,1.9,0.5,0.6,0.7,1.8,2.5,1.2,0.4,0.4,1.5,7.3
131,Jordan Ford,Point Guard,25,SAC,5,0,2.8,0.4,1,0.2,0.4,0.2,0.6,0.4,0.4,0,0.2,0.2,0.2,0,0,0,1.4
132,Trent Forrest,Shooting Guard,25,ATL,5,0,8.6,0.6,1.8,0,0,0.6,1.8,0.8,0.8,0.4,0,0.4,1.6,0,0,0.8,2
133,Evan Fournier,Shooting Guard,31,NYK,1,0,16,1,6,0,4,1,2,0,0,0,1,1,1,1,0,2,2
134,De Aaron Fox,Point Guard,26,SAC,15,15,36.5,10.7,22.5,3,8.1,7.7,14.3,6.1,8.3,1.1,3.6,4.7,6.5,1.5,0.3,2.7,30.5
135,Alex Fudge,Small Forward,20,LAL,4,0,3.5,0.3,1.5,0,0.5,0.3,1,0.5,0.5,0.5,0,0.5,0,0,0,0.3,1
136,Markelle Fultz,Point Guard,25,ORL,5,5,28.6,5.4,11.2,0,0.6,5.4,10.6,0.6,0.8,1.6,1.8,3.4,4,1.2,0.4,1.2,11.4
137,Daniel Gafford,Center,25,WAS,19,19,24.8,4.2,6.1,0,0,4.2,6.1,1.5,2.3,2.6,4.6,7.2,1.7,0.6,2.1,3.4,9.9
138,Danilo Gallinari,Power Forward,35,WAS,19,0,15.9,2.6,5.8,0.8,2.7,1.8,3.1,1.6,2,0.5,2.7,3.3,1.5,0.3,0.2,1.2,7.7
139,Darius Garland,Point Guard,24,CLE,17,17,33.4,7.1,15.1,1.5,4.7,5.6,10.4,3.8,4.6,0.6,2.1,2.6,6.1,1.6,0.2,1.6,19.6
140,Luka Garza,Center,25,MIN,5,0,3.2,0.8,2.2,0,0.4,0.8,1.8,1,1.6,0.6,0.6,1.2,0.2,0,0,0.8,2.6
141,Kaiser Gates,Small Forward,27,NOP,1,0,7,0,4,0,2,0,2,0,0,0,1,1,0,0,0,0,0
142,Keyonte George,Point Guard,20,UTA,22,14,26.4,3.3,9.6,1.5,5.1,1.8,4.5,2.4,3.1,0.5,2.6,3.1,5.1,0.5,0.1,1.1,10.5
143,Paul George,Power Forward,33,LAC,21,21,35.8,8,18,3.2,8.3,4.8,9.7,4,4.4,0.6,5.2,5.8,4,1.8,0.2,2.9,23.4
144,Josh Giddey,Shooting Guard,21,OKC,21,21,26.1,5,11.9,0.8,2.5,4.2,9.4,1,1.3,1.5,4.3,5.8,4.2,0.9,0.4,1.4,11.7
145,Harry Giles,Center,25,BRK,3,0,5.7,3,4,0.3,1,2.7,3,0.3,1,0.7,0.7,1.3,0,0,0.3,0.7,6.7
146,Shai Gilgeous-Alexander,Point Guard,25,OKC,20,20,35.1,11.2,20.6,1.2,3.3,10.1,17.3,6.9,7.6,0.9,4.7,5.6,6.2,2.8,0.9,2.6,30.5
147,Anthony Gill,Power Forward,31,WAS,12,0,6,0.9,2,0,0.3,0.9,1.7,0.8,1,0.6,0.8,1.3,0.4,0.3,0.3,0.5,2.7
148,Collin Gillespie,Point Guard,24,DEN,10,0,8.1,0.8,1.9,0.3,1.2,0.5,0.7,0.1,0.1,0,0.3,0.3,0.8,0.5,0,0.9,2
149,Jacob Gilyard,Point Guard,25,MEM,16,7,14.8,1.2,2.8,1,2.5,0.2,0.3,0.1,0.1,0.4,0.8,1.1,2.8,0.6,0.1,1,3.4
150,Rudy Gobert,Center,31,MIN,21,21,32.8,5.1,8.2,0,0,5.1,8.2,3.3,5.2,4,8.5,12.4,1.1,0.6,2.5,2.9,13.5
151,Jordan Goodwin,Point Guard,25,PHO,22,0,17.1,2.4,5.9,1,2.7,1.4,3.2,0.7,0.8,1.2,2.7,3.9,2.2,0.7,0.3,1.2,6.4
152,Aaron Gordon,Power Forward,28,DEN,19,19,33.1,5.3,10.9,0.5,2.2,4.8,8.8,1.4,2.9,2.6,4.5,7.1,3.6,1.1,0.8,1.8,12.5
153,Eric Gordon,Shooting Guard,35,PHO,20,16,32.1,5.6,11.8,2.8,6.9,2.8,4.9,0.7,0.8,0.4,1.8,2.1,3,1.1,0.6,1.6,14.6
154,Devonte  Graham,Point Guard,28,SAS,3,0,12,0.7,2.3,0,1.3,0.7,1,1.3,1.7,0.3,0.3,0.7,3.7,0.7,0.3,0.7,2.7
155,Jerami Grant,Power Forward,29,POR,19,19,34.9,7.3,16.7,2.6,6.3,4.7,10.5,4.9,5.9,0.7,3.2,3.8,2.2,0.8,0.9,2.2,22.1
156,AJ Green,Shooting Guard,24,MIL,14,0,7.9,1,2.5,0.8,2.1,0.2,0.4,0.1,0.1,0.1,0.5,0.6,0.6,0,0,0.6,2.9
157,Danny Green,Shooting Guard,36,PHI,2,0,9,0,1,0,0.5,0,0.5,0,0,0,1,1,0.5,0.5,0,0.5,0
158,Draymond Green,Power Forward,33,GSW,14,14,25.7,3.6,7.2,1.3,2.9,2.3,4.4,1.8,2.1,1.6,4.2,5.8,6.1,0.4,0.8,3,10.2
159,Jalen Green,Shooting Guard,21,HOU,19,19,31.7,6.4,15.1,2.1,6.2,4.3,8.8,4.2,5.3,0.4,4.3,4.6,3.1,0.5,0.4,1.5,19.1
160,Jeff Green,Power Forward,37,HOU,18,0,15.2,1.9,3.6,0.4,1.2,1.5,2.3,1.7,2.2,0.8,1.5,2.3,0.6,0.2,0.4,1.2,5.9
161,Josh Green,Shooting Guard,23,DAL,18,5,25.2,2.6,6.1,1.3,3.5,1.3,2.6,0.5,0.9,0.6,2.3,2.9,2.4,0.9,0.2,1.7,6.9
162,AJ Griffin,Small Forward,20,ATL,11,0,9.2,0.9,3,0.7,2.2,0.2,0.8,0.2,0.2,0.2,0.7,0.9,0.3,0.1,0,0.5,2.7
163,Quentin Grimes,Shooting Guard,23,NYK,19,18,22.7,2.2,5.9,1.7,4.8,0.5,1.2,0.1,0.2,0.2,1.1,1.3,1.2,0.7,0,1.8,6.2
164,Mouhamed Gueye,Power Forward,21,ATL,2,0,2,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0
165,Rui Hachimura,Power Forward,25,LAL,14,1,23,4.3,8.6,1.2,3,3.1,5.6,1.6,2.1,0.9,2.6,3.5,1.1,0.8,0.2,1.6,11.4
166,Tyrese Haliburton,Point Guard,23,IND,18,18,34.4,9.4,17.9,3.9,8.9,5.4,8.9,4.2,4.8,0.7,3.4,4.2,12.1,1,0.7,1.1,26.9
167,RJ Hampton,Point Guard,22,MIA,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168,Tim Hardaway Jr,Small Forward,31,DAL,19,0,27.7,5.7,13.5,3.5,9.1,2.3,4.5,2,2.3,0.4,3.1,3.4,1.5,0.2,0,1.1,16.9
169,James Harden,Shooting Guard,34,LAC,16,16,33.6,4.7,10.2,2.4,5.9,2.3,4.3,4,4.7,0.3,4.1,4.4,6.8,1.6,0.5,1.9,15.8
170,Jaden Hardy,Shooting Guard,21,DAL,17,0,11.2,2.2,5.8,0.8,2.6,1.5,3.1,1.1,1.6,0.5,1.3,1.8,1.4,0.3,0,1.1,6.3
171,Ron Harper Jr,Power Forward,23,TOR,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
172,Gary Harris,Shooting Guard,29,ORL,17,3,21.6,2.7,6.1,1.5,4.2,1.2,1.8,1.1,1.4,0.5,1.4,1.9,1.8,0.9,0.2,1.5,8.1
173,Joe Harris,Shooting Guard,32,DET,8,0,12.6,1.1,3.3,0.8,2.4,0.4,0.9,0,0,0.3,0.6,0.9,0.8,0.3,0.1,1.5,3
174,Tobias Harris,Power Forward,31,PHI,21,21,35.1,6.6,12.9,1,3,5.6,9.8,3.1,3.5,1,5.1,6.1,2.6,1,0.3,1.7,17.2
175,Shaquille Harrison,Shooting Guard,30,MEM,3,0,2,0.3,0.7,0,0,0.3,0.7,0,0,0,0.7,0.7,0,0,0.3,0,0.7
176,Josh Hart,Small Forward,28,NYK,21,5,28.5,3.3,6.9,1.1,3,2.2,4,0.5,0.7,1,5,6.1,2.7,1,0.3,1.9,8.2
177,Isaiah Hartenstein,Center,25,NYK,21,0,17.6,2.1,3.8,0,0.1,2.1,3.7,1,1.5,2.6,3,5.6,1.2,0.9,0.6,2.7,5.3
178,Sam Hauser,Small Forward,26,BOS,21,2,22.8,3.2,7,2.7,6.2,0.5,0.8,0.4,0.5,0.9,2.7,3.6,0.9,0.5,0.4,1.5,9.6
179,Jordan Hawkins,Shooting Guard,21,NOP,22,9,27.1,4,10.4,2.5,7,1.5,3.5,1.8,2.1,0.7,3,3.7,1.7,0.5,0,2,12.5
180,Jaxson Hayes,Center,23,LAL,20,0,11.2,1.3,1.9,0,0.2,1.3,1.7,0.6,1.1,0.4,1.3,1.7,0.4,0.3,0.5,2,3.1
181,Killian Hayes,Point Guard,22,DET,21,17,27.1,4,9.1,0.9,2.8,3.1,6.4,1.1,1.6,0.4,2.7,3.1,4.3,1.1,0.7,2,10
182,Gordon Hayward,Small Forward,33,CHO,19,19,32.6,5.8,12.8,0.9,2.6,4.9,10.2,2.6,3.4,1.2,3.7,4.9,4.5,1.3,0.5,1.8,15.2
183,Scoot Henderson,Point Guard,19,POR,12,5,25.6,3.6,10.7,0.8,4.2,2.8,6.5,1.3,2,0.9,1.8,2.7,4.1,0.5,0.1,4.2,9.3
184,Taylor Hendricks,Power Forward,20,UTA,4,0,14,1.5,4,0.8,2.5,0.8,1.5,0.3,0.5,0.5,0.8,1.3,0,0.8,0.8,1,4
185,Tyler Herro,Shooting Guard,24,MIA,8,8,34,8.5,19,3.1,7.6,5.4,11.4,2.8,3.1,0.4,4.6,5,4.6,1.4,0,1.6,22.9
186,Buddy Hield,Small Forward,31,IND,20,8,25.5,5,11,2.9,7.4,2.1,3.7,0.6,0.7,0.8,2.5,3.3,2.7,0.9,0.6,2.1,13.3
187,Haywood Highsmith,Power Forward,27,MIA,15,14,22.3,2.3,5.5,1.1,3.3,1.3,2.2,0.7,0.9,0.6,2.1,2.7,1.5,1.1,0.7,2.1,6.5
188,Nate Hinton,Shooting Guard,24,HOU,4,0,4,0.8,1.5,0.8,0.8,0,0.8,0,0,0.3,0.5,0.8,0,0,0,0.5,2.3
189,D Moi Hodge,Shooting Guard,25,LAL,6,0,5.5,0.5,2,0.3,1.7,0.2,0.3,0.2,0.3,0,0,0,0.3,0.2,0.2,0.7,1.5
190,Aaron Holiday,Point Guard,27,HOU,17,1,18.5,2.9,5.7,1.3,2.8,1.6,2.9,0.4,0.5,0.2,1.8,2,2.1,0.5,0.1,1.9,7.4
191,Jrue Holiday,Point Guard,33,BOS,19,19,34.7,4.7,10.9,1.7,4.5,3.1,6.4,1.3,1.5,1.7,5.4,7.1,5.1,0.7,0.9,1.6,12.4
192,Justin Holiday,Shooting Guard,34,DEN,13,4,13.8,1.8,3,1.1,2.1,0.7,0.9,0,0,0.2,1.4,1.6,1.1,0.5,0,1.2,4.6
193,Richaun Holmes,Center,30,DAL,11,1,10.5,1.2,2.3,0,0,1.2,2.3,0.5,1.1,1.4,2.2,3.5,0.5,0.1,0.5,1.5,2.8
194,Chet Holmgren,Center,21,OKC,21,21,30,6,11.7,1.6,4.2,4.5,7.4,3.4,3.9,1.7,6.1,7.8,2.5,0.9,2.4,2.9,17.1
195,Jalen Hood-Schifino,Shooting Guard,20,LAL,5,0,10.4,0.8,3.6,0.2,1.6,0.6,2,1,2,0.2,1,1.2,0.8,0,0.2,1.4,2.8
196,Al Horford,Center,37,BOS,19,8,26.6,2.9,6,1.4,3.7,1.6,2.3,0.4,0.4,1.6,5.2,6.8,2.8,0.5,1,1.8,7.7
197,Talen Horton-Tucker,Point Guard,23,UTA,22,8,22,3.6,9.2,1.3,3.9,2.3,5.4,1.1,1.4,0.5,2.3,2.8,4.3,0.9,0.5,2.1,9.6
198,Danuel House Jr,Small Forward,30,PHI,10,0,12.7,1.3,3.1,0.4,1.6,0.9,1.5,0.8,1,0.4,1,1.4,0.8,0.5,0.1,1,3.8
199,Caleb Houstan,Small Forward,21,ORL,14,0,9.4,0.9,2.1,0.9,1.9,0.1,0.1,0.3,0.3,0.2,1.2,1.4,0.4,0.1,0,0.8,3
200,Jett Howard,Small Forward,20,ORL,6,0,4.7,0.5,2,0.2,1.5,0.3,0.5,0.2,0.3,0.2,0.3,0.5,0.5,0,0,0.2,1.3
201,Kevin Huerter,Shooting Guard,25,SAC,19,19,27.3,4.6,10.3,2.4,6.5,2.2,3.8,0.7,0.9,0.7,3.9,4.6,2.9,0.8,0.3,2.3,12.3
202,Jay Huff,Center,25,DEN,2,0,1,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,1
203,De Andre Hunter,Small Forward,26,ATL,21,21,30.6,5,11.1,1.8,4.9,3.2,6.2,3,3.3,0.7,3.6,4.2,1.3,0.9,0.3,3.1,14.8
204,Bones Hyland,Point Guard,23,LAC,12,2,16.8,3.1,7.3,1.4,4,1.7,3.3,0.8,0.8,0.2,1,1.2,2,0.6,0,1.8,8.3
205,Joe Ingles,Small Forward,36,ORL,22,0,18.7,1.6,4,1,2.5,0.6,1.5,0.5,0.6,0.4,2.3,2.7,3.5,0.8,0.1,1.6,4.8
206,Brandon Ingram,Small Forward,26,NOP,20,20,34.2,9,18.3,1.3,4.3,7.8,14.1,3.8,4.9,0.6,4.6,5.2,5.4,0.8,0.2,2.1,23
207,Kyrie Irving,Shooting Guard,31,DAL,17,17,31.8,8.6,18.2,2.5,6.6,6.1,11.6,3.3,3.6,0.6,3.4,3.9,5.2,1.2,0.3,1.8,23
208,Jonathan Isaac,Power Forward,26,ORL,15,0,13.4,2.1,4.9,0.5,2.3,1.6,2.5,1.5,1.9,1.2,3.3,4.5,0.3,0.9,1.3,1.4,6.3
209,Jaden Ivey,Shooting Guard,21,DET,18,6,23,3.9,8.1,1,3.1,2.9,5,2.3,2.8,0.7,1.9,2.7,2.7,0.8,0.4,2.6,11.2
210,Andre Jackson Jr,Shooting Guard,22,MIL,17,3,7.7,0.8,1.3,0.4,0.6,0.5,0.6,0,0,0.6,0.6,1.2,0.6,0.3,0,1.4,2
211,Gregory Jackson II,Power Forward,19,MEM,3,0,2.3,0,1.3,0,0.7,0,0.7,0,0,0.3,0.7,1,0,0.3,0,0,0
212,Isaiah Jackson,Center,22,IND,12,0,13.1,2,3.4,0,0.1,2,3.3,1.4,2,1.4,2.8,4.3,0.8,0.5,1.6,2.8,5.4
213,Jaren Jackson Jr,Center,24,MEM,21,21,30.9,6.8,15.7,1.5,4.9,5.3,10.9,4.9,5.9,1.7,4.2,5.9,1.8,0.6,1.8,3.5,19.9
214,Reggie Jackson,Point Guard,33,DEN,23,13,26.4,5.3,10.7,1.7,4.1,3.7,6.6,1,1.5,0.4,2,2.4,4.5,0.7,0.3,2,13.3
215,Trayce Jackson-Davis,Power Forward,23,GSW,13,0,7.8,0.9,1.7,0,0,0.9,1.7,1.2,1.9,0.8,0.9,1.8,0.5,0.2,0.5,1.4,3
216,LeBron James,Power Forward,39,LAL,22,22,33.4,9.3,16.8,2.3,5.6,7,11.2,4.1,5.8,0.9,6.6,7.5,6.6,1.5,0.7,1.1,25
217,Jaime Jaquez Jr,Small Forward,22,MIA,22,4,27.3,5,9.5,1.1,3,3.8,6.5,1.1,1.4,1.1,2.5,3.6,2.5,1,0.2,2.3,12.2
218,DaQuan Jeffries,Shooting Guard,26,NYK,7,0,2.7,0.4,1.1,0.1,0.6,0.3,0.6,0,0.3,0,0.4,0.4,0.1,0,0,0.1,1
219,Ty Jerome,Shooting Guard,26,CLE,2,0,7.5,1,2,0,0.5,1,1.5,0,0,0.5,0,0.5,1.5,0,0,1,2
220,Isaiah Joe,Shooting Guard,24,OKC,21,0,20.6,3.2,7.2,2.5,5.7,0.7,1.5,1.1,1.3,0.1,2.3,2.4,1.1,0.9,0.3,1.2,10
221,Cameron Johnson,Power Forward,27,BRK,14,14,29,5.4,11.9,2.4,6.3,3.1,5.6,1.4,1.7,1.9,3.9,5.9,2.7,0.8,0.1,1.9,14.6
222,Jalen Johnson,Small Forward,22,ATL,15,12,29.9,5.7,9.5,1.1,2.7,4.5,6.9,1.7,2.2,1.3,5.9,7.3,2.4,1.1,1,2.2,14.1
223,Keldon Johnson,Small Forward,24,SAS,20,20,32.9,6.3,13.2,2.1,5.6,4.2,7.6,2.3,3.1,1.1,5.4,6.5,4.1,0.8,0.4,2.6,17
224,Keyontae Johnson,Small Forward,23,OKC,1,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
225,Nikola Joki,Center,28,DEN,22,22,34.2,11.1,20.8,1.3,4.2,9.9,16.6,4.8,6.2,3.5,9.5,13,9.6,1.1,0.8,2.6,28.4
226,Colby Jones,Shooting Guard,21,SAC,9,0,7.8,1.4,3.1,0.1,0.9,1.3,2.2,0.2,0.3,0.7,0.9,1.6,0.2,0.2,0.1,1,3.2
227,Damian Jones,Center,28,CLE,11,0,4.9,0.4,0.7,0,0,0.4,0.7,0.1,0.2,0.4,0.6,1,0.3,0.1,0.2,0.4,0.8
228,Derrick Jones Jr,Small Forward,26,DAL,21,20,24.2,3.7,7.4,1.7,4.3,2,3,1.1,1.5,1.2,2.6,3.9,1,0.7,0.8,1.7,10.1
229,Herbert Jones,Small Forward,25,NOP,20,20,31.1,4.2,8.2,1.2,3.5,3,4.7,2.7,3.1,1.2,3.2,4.4,2.8,1.8,1.3,3.5,12.3
230,Tre Jones,Point Guard,24,SAS,18,0,24.3,3.1,7.1,0.7,2.2,2.4,4.9,1.3,1.5,0.6,2.4,3,5.3,0.8,0.2,1.3,8.2
231,Tyus Jones,Point Guard,27,WAS,21,21,27,4.9,9.5,1.1,3.1,3.8,6.4,0.6,0.8,0.3,2.5,2.8,5,1,0.2,0.9,11.4
232,DeAndre Jordan,Center,35,DEN,8,1,13.8,2.3,3.8,0,0,2.3,3.8,0.8,2.6,1.5,3,4.5,1.1,0.4,0.3,1.5,5.3
233,Cory Joseph,Point Guard,32,GSW,11,0,11,0.6,2.5,0.4,1.7,0.3,0.8,0.4,0.6,0.2,0.7,0.9,2.2,0.3,0.1,0.9,2
234,Nikola Jovi,Power Forward,20,MIA,4,1,12,1,3,0.8,1.8,0.3,1.3,0.8,1,0.3,5.5,5.8,2.3,0.3,0,2.3,3.5
235,Luke Kennard,Shooting Guard,27,MEM,8,0,21.5,2.6,7.3,2.1,5.8,0.5,1.5,0.9,0.9,0.4,2.5,2.9,2,0.6,0.1,0.5,8.3
236,Walker Kessler,Center,22,UTA,15,9,25.1,4,7.3,0.1,0.7,3.9,6.5,0.7,1.3,3.3,4.9,8.2,0.8,0.4,2.4,2.3,8.9
237,Braxton Key,Small Forward,26,DEN,6,0,2.5,0.2,0.8,0,0.3,0.2,0.5,0.2,0.3,0,0.5,0.5,0.8,0,0,0.5,0.5
238,Corey Kispert,Small Forward,24,WAS,20,1,22.9,3.7,8.3,2,5.3,1.7,3,1.6,2,0.5,2.1,2.6,1.6,0.5,0.1,1.8,11
239,Maxi Kleber,Center,32,DAL,5,1,18,0.8,3.2,0.6,1.8,0.2,1.4,1.2,2,0.8,3.4,4.2,2,0.2,0.2,1.6,3.4
240,Kevin Knox,Small Forward,24,DET,7,2,18.6,3,5.9,1.3,3,1.7,2.9,0.3,0.4,0.7,2.4,3.1,0.4,0.6,0.1,1.7,7.6
241,John Konchar,Small Forward,27,MEM,17,2,17.8,1.2,3.4,0.6,1.9,0.6,1.4,0.2,0.4,1.1,3,4.1,1.4,0.7,0.7,1,3.4
242,Furkan Korkmaz,Shooting Guard,26,PHI,14,0,7.4,0.8,2.1,0.3,1.1,0.5,1.1,0.4,0.5,0.1,0.5,0.6,0.4,0.6,0,0.5,2.2
243,Luke Kornet,Center,28,BOS,16,0,13.2,1.9,2.5,0,0,1.9,2.5,0.5,0.6,1.4,1.9,3.3,0.6,0.5,0.8,1.2,4.4
244,Jonathan Kuminga,Power Forward,21,GSW,21,1,20.1,4.3,9.2,0.7,2.4,3.7,6.9,2.4,3.5,1,2.4,3.3,1,0.6,0.3,2.4,11.7
245,Kyle Kuzma,Power Forward,28,WAS,21,21,31.3,9,19,2.2,6.3,6.8,12.8,2.7,3.3,0.9,4.9,5.8,4.6,0.3,0.6,2,22.9
246,Jock Landale,Center,28,HOU,13,0,8.7,0.7,2,0.2,0.8,0.5,1.2,0.3,0.3,0.7,1.1,1.8,0.6,0.3,0.2,0.7,1.8
247,Jake LaRavia,Power Forward,22,MEM,5,0,12.2,1.4,4,0.4,2.4,1,1.6,0.2,0.4,0.6,1,1.6,0.4,0.2,0,1.6,3.4
248,Zach LaVine,Shooting Guard,28,CHI,18,18,35.3,7.3,16.6,2.4,7.1,4.9,9.4,3.9,4.6,0.3,4.6,4.9,3.4,0.9,0.2,2.1,21
